scene_id,im_id,obj_id,score,R,t,time
000002,000003,1,1,0.8530655863964643 0.5140475059778189 -0.0896340722272569 0.41820830665132225 -0.7762706057032448 -0.47170516105820925 -0.3120591571383389 0.36490972625993645 -0.877188676469896,171.55150308609157 -125.37936575366837 1181.4088792078082,-1
000002,000008,1,1,0.8999146174127897 0.4300860965098295 0.07196965301937915 0.42769498552056845 -0.8383512128689665 -0.33800035982479887 -0.08503340947741038 0.33495252420316285 -0.9383901778058936,-26.655237965470818 -17.653097152399177 1103.5249321542146,-1
000002,000017,1,1,0.811825839491871 0.5795990221529849 -0.07073740066345413 0.2164308431233373 -0.41121548451988343 -0.8854713521260857 -0.5423066443242601 0.7035387685198173 -0.45927846097044345,115.97303535344695 -14.496001041768077 1141.4090119325247,-1
000002,000027,1,1,0.8480513918186381 0.5295399318646786 0.01990721967583306 0.3166416435148108 -0.47625910138969973 -0.8203141702638782 -0.4249081152751849 0.7019720285767995 -0.5715665881321816,270.17605381165464 68.14219166331254 1183.7978807972215,-1
000002,000047,1,1,-0.7499782792167532 0.19538299820733135 0.631947833855447 -0.6550942402717082 -0.08714490461597535 -0.750504698161381 -0.09156482439185387 -0.976847608182047 0.1933510623790371,501.5080030021027 -158.937425665099 2545.9267345860703,-1
000002,000058,1,1,0.9311744976290239 0.08186312146563358 -0.3552639642705658 -0.2820496352897902 -0.45568145412465577 -0.8442762673436555 -0.23100229046100657 0.8863706006579539 -0.4012294855703237,141.01061581599114 -37.829809027313026 1221.5447951581941,-1
000002,000061,1,1,0.9467532543564128 -0.13516773988757053 -0.2922121788345369 -0.31986878045790446 -0.49816978275223994 -0.8059223478977109 -0.036636575357341994 0.8564791589094694 -0.5148798031577988,262.167318866352 -134.42730058910743 1243.6759952902162,-1
000002,000069,1,1,0.9754167887313675 0.10950336415784546 -0.19123572234052144 -0.18233438978139682 -0.08631676490551726 -0.9794404455602654 -0.1237588726679117 0.9902315028993776 -0.06422859255508923,149.84131220590854 133.16706045804577 1251.798366475483,-1
000002,000079,1,1,0.03903166313571249 0.9781019521908778 -0.20443360876640054 0.5654721461838037 -0.1902991734134457 -0.8025132251174694 -0.8238432989125681 -0.08427808563649725 -0.5605171033236221,21.72748431310432 136.38922728205236 993.1476677872624,-1
000002,000089,1,1,0.3079266670868014 0.6874047310284255 -0.657765842421566 0.02340081424694318 -0.6966218684415458 -0.7170567441294934 -0.9511222684751917 0.2054086370354169 -0.2305942805922513,-65.63062641580716 122.52274023260226 905.7690115082073,-1
000002,000096,1,1,-0.49420583596992906 0.8626152920218053 -0.1079604078512077 0.14599099514237018 -0.040071694639840394 -0.9884740202079323 -0.8569989620942395 -0.5042708768695916 -0.10613039955907577,156.6083300780683 148.66446655346658 888.175137302551,-1
