scene_id,im_id,obj_id,score,R,t,time
000002,000003,9,1,-0.9904318001718433 -0.12435497406208816 -0.05983886391284015 -0.07839996844666079 0.8638598552944229 -0.4975938055867072 0.11357065710791944 -0.4881413635789499 -0.8653436976180962,70.38658820739288 135.20039362783226 1003.5395655676942,-1
000002,000008,9,1,-0.9922619273127935 -0.07980922791424282 0.0951144297424576 -0.10657325320052656 0.9405025389780529 -0.3226408465741646 -0.06370564580754923 -0.3302808824554785 -0.9417303910231811,-106.6591251395217 250.6440481204225 1005.9981727309936,-1
000002,000017,9,1,-0.9728577172994837 -0.2226524513182574 -0.06303766979202992 -0.057738951053052615 0.49736028786548914 -0.8656205621319607 0.22408497366430258 -0.8384859151925746 -0.4967165133167405,-9.701792776995845 129.72563420463806 943.1140475013266,-1
000002,000027,9,1,-0.686163356589409 -0.7267461507158599 0.03193556784583562 -0.3685419127487808 0.3094413665619079 -0.8765973415472856 0.6271815579411 -0.6132585695120607 -0.48016374321536953,187.40261120879097 203.43876445963417 940.313407426322,-1
000002,000036,9,1,-0.7083829301978044 -0.7041571418641632 0.04854218542736766 -0.6187334122529602 0.5864081886519817 -0.5227756697128404 0.3396506863914463 -0.40036003277499255 -0.8510871021171841,92.53117601315404 231.22781383714354 967.2310735735324,-1
000002,000038,9,1,-0.8866626600431905 -0.45792025697301986 0.06433012932442382 -0.4447939244029371 0.8065382109518568 -0.3894284004651075 0.12644244579795177 -0.37390527213231595 -0.9188074637116803,177.76987497322298 238.51109589073616 997.2011986220384,-1
000002,000039,9,1,-0.9120509715505816 -0.40718398425697594 0.04862333039041071 -0.3741548502135102 0.7777558042076935 -0.505078268274283 0.16784270420648606 -0.47884978018775126 -0.8617027994957405,222.66215089094135 266.5385930733356 957.9758029025626,-1
000002,000041,9,1,-0.9325001406172226 -0.35952586956893856 0.034418554001561644 -0.30102233609086254 0.7210106111001612 -0.624122785880608 0.1995721446576642 -0.5923553391264993 -0.780567813380151,279.07907760639256 185.70795378580553 962.0288493409018,-1
000002,000047,9,1,-0.9599328818723736 -0.2768842530655602 0.0431737501790916 -0.21728614640263821 0.6381402948289299 -0.7386228365662253 0.17696212273164857 -0.7184094059239288 -0.6727349646022098,264.48911358519103 85.52023056102362 925.3141599497479,-1
000002,000058,9,1,-0.9307715607447681 -0.2185732832759914 -0.2930699942790147 0.13870818061634788 0.5305587935438628 -0.8362221040031071 0.3382666734084975 -0.8189829585719314 -0.463511133879128,210.43618050688397 78.27049941718995 927.4935821716792,-1
000002,000061,9,1,-0.9516030736830481 -0.1784128723390982 -0.2502407583522076 0.129419468006938 0.5058917951888765 -0.8528329806365239 0.27875112817310077 -0.843944511531587 -0.4583180882290538,332.4327329786378 -13.851998871032208 902.4956027376002,-1
000002,000062,9,1,-0.9878016868489417 0.07816181677524611 -0.13467946338168357 0.15487095041966967 0.5831740916147201 -0.7974477836105974 0.016211606166373668 -0.8085782023204303 -0.5881653462741303,134.57688499160454 -36.46082831464124 1012.7286806430895,-1
000002,000064,9,1,-0.9914409790755014 0.07044927835641472 -0.10991671478383833 0.12932867287345146 0.41480871480104875 -0.9006707636522314 -0.01785719414138323 -0.9071772865896514 -0.4203694700061299,147.0242982889992 1.2329650315645841 1022.0890746314002,-1
000002,000065,9,1,-0.8385008423898257 -0.08480627214468703 -0.5382603770634373 0.4981437210267644 0.2810386725438062 -0.8202865948779264 0.22083743005469333 -0.9559420279178731 -0.1934054516995376,355.7353193381974 6.973708946160388 959.8809812903262,-1
000002,000069,9,1,-0.9387465330394705 -0.30141317818254987 -0.16704802520313947 0.11290101217454969 0.18899104590123406 -0.975466937430029 0.3255891708216605 -0.9345760967342639 -0.14338483621572917,208.1376326076307 165.91084810122783 970.1747846309895,-1
000002,000072,9,1,-0.7933319226843797 -0.38159804385648377 -0.4743494422625693 0.27968675626930206 0.4636204141546918 -0.8407326744849328 0.5407400288654998 -0.799649325957283 -0.26107695547213927,118.30510035483498 73.69931058067041 937.3227101576603,-1
000002,000079,9,1,-0.9037038818969654 0.3511284731567926 -0.24500630437385726 0.40512780093609185 0.5161088040816889 -0.7546543362745983 -0.13853071411438664 -0.7812429184881919 -0.608661435905882,134.96873060952385 -85.57362078948381 1189.7472488116266,-1
000002,000089,9,1,-0.4733859323679598 0.6097321606177155 -0.6357141270607173 0.7150485876258037 -0.15546105016296297 -0.681569790422501 -0.5144038067223654 -0.7772120394015273 -0.3623950461014309,-105.024294559534 -21.217269934908956 1213.3678969664527,-1
000002,000096,9,1,-0.8925225718333609 0.43301751598430355 -0.12609238525282365 0.18815145955811435 0.10340778532844686 -0.9766810422034501 -0.4098810644981229 -0.8954343419727934 -0.17376666015561293,31.70049185718762 70.79008480850489 1244.2843884112697,-1
000002,000097,9,1,-0.8990724450849267 0.38878966407522686 -0.20127427952245622 0.43288050216566953 0.7207266523543032 -0.5414495021984582 -0.06544623238819328 -0.5739300390242983 -0.816284938591763,182.74295912500338 -240.5332539971179 1037.6212787814309,-1
000002,000102,9,1,-0.9592475111506485 0.22619523361540125 -0.16935149435703406 0.2806444167753371 0.8324514458636844 -0.47776908817156943 0.032907805823503194 -0.5058263600971543 -0.8620074070138531,124.07553186946204 -246.9280242690138 1048.0018620883202,-1
000002,000107,9,1,-0.986980937306655 0.1351735262735732 -0.08715932071812163 0.15689608012604966 0.9283987949508316 -0.3368371974336019 0.03538713656622943 -0.3461268486098857 -0.9375201092440804,0.7175479968153747 -183.019493483556 1047.1490744558287,-1
000002,000110,9,1,-0.9570385210933681 0.19933817209897578 -0.2105743628451907 0.2899544765313208 0.6531185611688433 -0.6995445279581479 -0.0019159026245212513 -0.7305480396257179 -0.6828586172233269,95.05610996002967 -128.0942250952626 1153.0107847223182,-1
000002,000119,9,1,-0.9265039488949788 0.29579741966023837 -0.23258185484761149 0.3762126814219386 0.7160628955123803 -0.5879778465280311 -0.007379093394554392 -0.6322640399332945 -0.7747178407574618,110.54552530889639 103.32311476379726 846.9889109032159,-1
000002,000124,9,1,-0.9557837805612428 0.28128828142932366 -0.08575702622290339 0.29097045858180753 0.9468335715765268 -0.1372675488537947 0.0425858785133139 -0.15615085803854525 -0.9868147508448966,-41.503102756344155 182.07769249488518 964.9370067471623,-1
000002,000126,9,1,-0.8795997689668049 0.4742709668290902 -0.03703102019312207 0.46140713878029926 0.8316092451081251 -0.30907849445289914 -0.1157916176418701 -0.2889517493868019 -0.9503153096789433,65.5706569403058 145.82286016470124 934.0608713866893,-1
000002,000136,9,1,-0.8951860881788902 0.0391513543000178 0.443969637461224 -0.2655982810703338 0.7530761857466184 -0.6019417011254564 -0.35790979397532574 -0.6567674092993643 -0.6637447924155344,-209.94360576727553 105.51107720408103 889.1103589357111,-1
000002,000162,9,1,-0.9742389787071118 -0.21834602842806683 0.056421841847049015 -0.21562953095761028 0.8286226824760611 -0.5166123841577721 0.06604784437606245 -0.5154701368225576 -0.8543583676054265,101.26510255701211 -44.82241125170393 1051.2464431920578,-1
000002,000166,9,1,-0.9712747024458881 0.23077012266372238 0.05805689342724278 0.13954480853105133 0.7499847383294895 -0.6465679691145239 -0.1927503535682462 -0.6198935737355391 -0.7606439761417283,7.051071056003652 -60.3020167664204 1024.2009171438635,-1
000002,000175,9,1,-0.9975787316802979 -0.028488791935351438 0.06344338289524315 -0.04408648783370356 0.9645817193291799 -0.26007400548008086 -0.05378713312323761 -0.262241292457974 -0.9635021789494586,58.44207467251113 -17.73790970240308 969.1793109257634,-1
000002,000176,9,1,-0.9965653391477259 -0.05871801290585679 0.05839280580487469 -0.0746568529268285 0.9421669554366999 -0.3267227913602006 -0.035831258984859435 -0.32996003249412936 -0.9433146335322236,26.03062752156075 -103.77518359994635 1005.8505213914915,-1
000002,000178,9,1,0.44890612938759855 -0.8292198340862547 -0.3329831133198945 -0.858553933691985 -0.29693917656757995 -0.4179859667038916 0.2477265224804649 0.47352042424517676 -0.8452277668666616,338.80307118534563 134.74581536926442 972.1824372278486,-1
000002,000203,9,1,-0.548560589025562 -0.8188431003895522 -0.16904809112307065 -0.7828703651100768 0.5740170136114314 -0.24003845424645645 0.29359031251106227 0.0006671049684583152 -0.9559311080672173,241.93017701333756 -56.594493228133146 894.8245149365017,-1
000002,000207,9,1,-0.16812504521708233 -0.8457835733561712 -0.5063438715059367 -0.6490071109085487 0.48159327028521104 -0.5889462556177218 0.7419728695585124 0.22960415731615633 -0.6298874437407407,258.0928738915365 -104.10449043377695 943.6621159502779,-1
000002,000217,9,1,-0.3857817973220625 -0.8929217823287611 -0.23208424224360413 -0.1685338618763227 0.315530773174316 -0.9338290360558892 0.907066007662073 -0.3211401902952155 -0.2722135851149629,95.41507699717256 74.0216842618363 960.766329828625,-1
000002,000219,9,1,-0.23316913528701122 -0.9579826117062924 -0.16703733121041675 -0.07844008093094068 0.1897409644873802 -0.9786958261374912 0.9692674079185037 -0.21509923771085254 -0.11938597021072134,117.8030920508663 42.266600921696266 872.3073995484912,-1
000002,000221,9,1,-0.5244687219045173 0.6849144428927889 0.5057912273465237 0.7483309413251151 0.08745740879807784 0.6575347929210993 0.40611988623965367 0.7233556577252898 -0.5584113451905363,-124.73952592181709 -227.0156551189464 -2415.951838968095,-1
000002,000224,9,1,-0.25049070593540834 -0.794144876650879 0.5537041819682611 -0.5821645542978826 -0.33341605427498855 -0.741564674503071 0.7735236505493084 -0.508102007121462 -0.3788053753578656,122.68025915782782 -7.533260677127983 862.8899503137158,-1
000002,000254,9,1,-0.9736907143282539 0.19840737092905028 0.11207545668859357 0.09421591120109582 0.7983460659297984 -0.5947830874284855 -0.20748434858437342 -0.5685754779934117 -0.7960352824574308,8.321085496918784 -157.00446324951184 943.0404154818948,-1
000002,000263,9,1,0.1892772885326186 -0.9775388738292016 -0.09269227690846882 -0.4013488024367792 0.009133924229123291 -0.9158797465883499 0.8961547002768568 0.2105571693885369 -0.39060521193499687,125.75278778010163 23.019310717906812 925.1382069333814,-1
000002,000266,9,1,-0.9137538790797216 -0.406214237297594 0.006621320374017456 -0.3663988464728918 0.8169316831309342 -0.4453925351868771 0.17551562258128384 -0.40940520088732785 -0.895310922370721,136.9963516043929 -115.30559108941385 847.6714980276957,-1
000002,000268,9,1,-0.7998953134617699 -0.5939126471414642 -0.08622792510153214 -0.5489233673629712 0.7821196094368529 -0.2949102461720192 0.2425914760761253 -0.18856480079739996 -0.9516263403434373,127.27893047317768 -121.55706375264589 819.4054540925802,-1
000002,000277,9,1,-0.4433463719610355 -0.895083170025975 -0.047645705003061145 -0.5419195172083967 0.3100017099767235 -0.7811671886863435 0.7139798535936468 -0.3205075015467794 -0.6225011727817352,147.99867295214565 -2.770249360303804 810.6316308440555,-1
000002,000283,9,1,-0.5815189285911265 -0.5743745362973158 -0.5761333419821075 0.04026644797933082 0.6869975904402237 -0.7255431923024673 0.8125357523563848 -0.4451159430783971 -0.37637408035101605,104.015651513996 -68.06234216839 877.9189768793613,-1
000002,000307,9,1,-0.9692272929214509 0.243495808128825 0.03616968454170413 0.21701037876650386 0.9145177319883063 -0.34141443054824544 -0.11621080054699937 -0.32305898734233446 -0.9392166632537835,-94.45014902799058 -100.81065371058591 808.0604045587813,-1
000002,000310,9,1,-0.964886389951302 0.26209618210773544 0.017316056459038366 0.22098507845728982 0.8456387482984307 -0.4858607850768455 -0.14198538511399442 -0.46497386883653147 -0.8738646644150446,-33.60308858599196 -150.38470145421732 851.8637509574194,-1
000002,000338,9,1,-0.9952963883625763 0.09531676602191597 -0.017315121354907315 0.07972573673740757 0.7043622169248848 -0.7053493278300755 -0.05503549958062909 -0.7034120993299626 -0.7086483699989194,-71.86741908355953 59.158023166844856 588.1907667359088,-1
000002,000342,9,1,-0.953367899811663 -0.3016461697280648 0.009961721592497363 -0.26706235043684023 0.8277685828088981 -0.4934337587698062 0.1405964031824756 -0.47308430707743465 -0.8697263304104426,-152.56426283142284 50.32817970909813 614.1294935207952,-1
000002,000356,9,1,-0.8843848032618097 0.4663292417296917 0.02001394682167887 0.07847368313943359 0.19081851150503826 -0.9784836108599537 -0.46011455183910666 -0.8637854675640315 -0.20535156491024276,-140.83410484864183 -70.738768802494 758.2983601619483,-1
000002,000362,9,1,-0.6889627178649 0.7235519016678716 0.04246197104488675 0.08610272689295739 0.13987502329597612 -0.986418419474995 -0.7196642924404455 -0.675949423737277 -0.15866846799360057,-150.16872330023904 -56.248185429491144 720.6949385604378,-1
000002,000365,9,1,-0.2652119745805325 0.8478371262355993 -0.4591675248922289 0.4554005064208668 -0.3096083270862847 -0.8347173548875392 -0.8498664526210651 -0.4304821612743003 -0.30399362087697535,-206.49727511754028 -54.994923065347706 709.586675093773,-1
000002,000368,9,1,0.5272763811126154 0.8176980335065414 -0.2309752019596896 0.6491107110533318 -0.5630492282246466 -0.5114986328344072 -0.5483018354124144 0.11977267048523546 -0.8276591114028848,-49.64385346603872 -2.306893088088463 634.9069836910105,-1
000002,000387,9,1,-0.6471919337388142 0.6177785640774597 -0.44664554925556615 0.6577763598107692 0.1564000828449721 -0.7367966303941541 -0.38532176343610275 -0.7706417195120429 -0.5075810071013434,-254.03265246346297 -71.93385157240539 756.3858124375957,-1
000002,000389,9,1,-0.9498167339348601 0.22659176834291 -0.21564865512343942 0.2645864036970302 0.21422329824798958 -0.9402672032281172 -0.16685984213101504 -0.9501392261174075 -0.26342597456785966,-57.83975796398052 -74.32403573967196 798.8248468366762,-1
000002,000402,9,1,0.9249664283124406 0.3663332464809443 -0.10117835251504267 0.3376891291881761 -0.9143534061699554 -0.22343656964233022 -0.17436501519243416 0.17250449602295104 -0.9694529593171656,108.99926770531495 221.83340094883002 1009.5504707122378,-1
000002,000415,9,1,0.7654184620531069 0.5876384391584673 -0.26232735803125296 0.2437593943817485 -0.6420072118036098 -0.7269168436917653 -0.5955803351344804 0.4924508146155874 -0.6346465627304261,127.35620581898648 119.87804519974301 908.6754601714484,-1
000002,000417,9,1,0.5949909677377289 0.7701509838967107 -0.22989826078822367 0.33286514849737214 -0.49647403277683 -0.801694659888747 -0.7315644477599661 0.4004759628008151 -0.5517539868387145,98.0213511364627 119.56355988658318 939.738475104889,-1
